routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012400_2024-01-26,3.0,1.0,-0.5184251902300862,0.511113916853441,0.09565217391304348,정상 또는 경미한 편차
CJB270012400_2024-01-27,1.0,1.0,-0.5134204547485987,0.8585306564472569,0.12,정상 또는 경미한 편차
CJB270012400_2024-01-28,1.0,1.0,-0.5474332170177619,1.1576132830114525,0.10344827586206896,정상 또는 경미한 편차
CJB270012400_2024-01-29,6.0,1.0,-0.5211314651564524,0.5275064059045967,0.09401709401709402,정상 또는 경미한 편차
CJB270012400_2024-01-30,3.0,1.0,-0.5375915284564011,0.4607440683536224,0.10185185185185185,정상 또는 경미한 편차
CJB270012600_2024-01-01,3.0,1.0,-0.491283565981786,0.4799510986870912,0.09174311926605505,정상 또는 경미한 편차
CJB270012600_2024-01-02,6.0,1.0,-0.5088999419828175,0.423482314020192,0.09565217391304348,정상 또는 경미한 편차
CJB270012600_2024-01-03,5.0,1.0,-0.5131123488899586,0.38404129601711023,0.10576923076923077,정상 또는 경미한 편차
CJB270012600_2024-01-04,0.0,1.0,-0.4842182691366732,0.5844479198136895,0.10185185185185185,정상 또는 경미한 편차
CJB270012600_2024-01-05,2.0,1.0,-0.49521627207478464,0.35211065740084974,0.08653846153846154,정상 또는 경미한 편차
CJB270012600_2024-01-06,4.0,1.0,-0.5281956039234689,1.2034758936506667,0.10714285714285714,정상 또는 경미한 편차
CJB270012600_2024-01-07,4.0,1.0,-0.5389857219842034,0.8021193764406996,0.13333333333333333,정상 또는 경미한 편차
CJB270012600_2024-01-08,6.0,1.0,-0.5469070697983974,0.612303359167455,0.09090909090909091,정상 또는 경미한 편차
CJB270012600_2024-01-09,0.0,1.0,-0.48692737820920057,0.49154153668107997,0.10101010101010101,정상 또는 경미한 편차
CJB270012600_2024-01-10,6.0,1.0,-0.5005742916464444,0.4681746536242515,0.09009009009009009,정상 또는 경미한 편차
CJB270012600_2024-01-11,7.0,1.0,-0.5077962156381608,0.40841787569823845,0.10101010101010101,정상 또는 경미한 편차
CJB270012600_2024-01-12,5.0,1.0,-0.5288719866809952,0.6334497398036015,0.08928571428571429,정상 또는 경미한 편차
CJB270012600_2024-01-13,4.0,1.0,-0.5411986982722405,0.9494045942778596,0.1276595744680851,정상 또는 경미한 편차
CJB270012600_2024-01-14,4.0,1.0,-0.5045353844506179,0.6573420091500634,0.11538461538461539,정상 또는 경미한 편차
CJB270012600_2024-01-15,5.0,1.0,-0.547897987362833,0.42761289803230035,0.07758620689655173,정상 또는 경미한 편차
CJB270012600_2024-01-16,3.0,1.0,-0.5399635736433531,0.5983217322528293,0.09649122807017543,정상 또는 경미한 편차
CJB270012600_2024-01-17,7.0,1.0,-0.5034245447989887,0.5364852405633506,0.09009009009009009,정상 또는 경미한 편차
CJB270012600_2024-01-18,6.0,1.0,-0.5276172358507115,0.6394090274022735,0.0990990990990991,정상 또는 경미한 편차
CJB270012600_2024-01-19,0.0,1.0,-0.499351461438489,0.44713948155985844,0.08928571428571429,정상 또는 경미한 편차
CJB270012600_2024-01-20,1.0,1.0,-0.4969838423049897,0.5564164039817828,0.125,정상 또는 경미한 편차
CJB270012600_2024-01-21,1.0,1.0,-0.4986204108163785,0.7334259989788853,0.10344827586206896,정상 또는 경미한 편차
CJB270012600_2024-01-22,2.0,1.0,-0.5152246830102011,0.5265379537077272,0.10377358490566038,정상 또는 경미한 편차
CJB270012600_2024-01-23,0.0,1.0,-0.45057656854280054,0.35804321318915006,0.09615384615384616,정상 또는 경미한 편차
CJB270012600_2024-01-24,0.0,1.0,-0.48700532370852406,0.41957789794153966,0.08771929824561403,정상 또는 경미한 편차
CJB270012600_2024-01-25,5.0,1.0,-0.5192645154894133,0.42308169514933613,0.1,정상 또는 경미한 편차
CJB270012600_2024-01-26,6.0,1.0,-0.4781601361861698,0.37956937956933534,0.09523809523809523,정상 또는 경미한 편차
CJB270012600_2024-01-27,1.0,1.0,-0.543558159649209,1.003115564717479,0.09375,정상 또는 경미한 편차
CJB270012600_2024-01-28,4.0,1.0,-0.5496555051600729,1.0170711710728477,0.10526315789473684,정상 또는 경미한 편차
CJB270012600_2024-01-29,0.0,1.0,-0.477365113874993,0.4217421952299456,0.09009009009009009,정상 또는 경미한 편차
CJB270012600_2024-01-30,0.0,1.0,-0.454854554299144,0.3952916857445672,0.09473684210526316,정상 또는 경미한 편차
CJB270012700_2024-01-01,3.0,-1.0,-0.5567935568913278,0.7363810986541303,0.09090909090909091,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-02,3.0,-1.0,-0.5588305205044873,0.6240214370633431,0.09615384615384616,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-03,7.0,-1.0,-0.5682541325349942,0.7429322697830397,0.08620689655172414,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-04,2.0,1.0,-0.5096731404593497,0.39937269284661947,0.10377358490566038,정상 또는 경미한 편차
CJB270012700_2024-01-05,5.0,1.0,-0.5481763152928171,0.5766297554434907,0.09090909090909091,정상 또는 경미한 편차
CJB270012700_2024-01-06,1.0,1.0,-0.530467798690092,0.7908499567850713,0.12244897959183673,정상 또는 경미한 편차
CJB270012700_2024-01-07,4.0,1.0,-0.50441360797577,0.6817303583623687,0.11764705882352941,정상 또는 경미한 편차
CJB270012700_2024-01-08,5.0,1.0,-0.5070259929328812,0.39527211913061605,0.09243697478991597,정상 또는 경미한 편차
CJB270012700_2024-01-09,2.0,-1.0,-0.5567016281499474,0.5751616937412148,0.09243697478991597,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-10,2.0,-1.0,-0.5542824881944567,0.8483696278568474,0.09821428571428571,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012700_2024-01-11,3.0,1.0,-0.5010718337051265,0.4020261268406227,0.09523809523809523,정상 또는 경미한 편차
